ML Catalog Number,Common Name,Date,Average Community Rating,Number of Ratings
634190097,Acorn Woodpecker,2025-04-21,0.0,0
634190093,Red-shouldered Hawk (elegans),2025-04-21,0.0,0
634190092,Red-shouldered Hawk (elegans),2025-04-21,0.0,0
634190084,Cooper's Hawk,2025-04-21,0.0,0
634190083,Cooper's Hawk,2025-04-21,0.0,0
634190081,Cooper's Hawk,2025-04-21,0.0,0
634190079,Cooper's Hawk,2025-04-21,0.0,0
634190078,Cooper's Hawk,2025-04-21,0.0,0
634190082,Cooper's Hawk,2025-04-21,0.0,0
634190080,Cooper's Hawk,2025-04-21,0.0,0
634190066,Anna's Hummingbird,2025-04-21,0.0,0
634190065,Anna's Hummingbird,2025-04-21,0.0,0
634190021,Wood Duck,2025-04-21,0.0,0
634067105,Song Sparrow,2025-04-19,0.0,0
634067089,House Sparrow,2025-04-19,0.0,0
634067087,House Sparrow,2025-04-19,0.0,0
634067080,Western Bluebird,2025-04-19,0.0,0
634067078,Western Bluebird,2025-04-19,0.0,0
634067079,Western Bluebird,2025-04-19,0.0,0
634067062,Northern Mockingbird,2025-04-19,0.0,0
634067056,American Crow,2025-04-19,0.0,0
634067050,Brown Pelican (California),2025-04-19,0.0,0
634067040,Brown Pelican (California),2025-04-19,0.0,0
634067030,Double-crested Cormorant,2025-04-19,0.0,0
634067017,Western Grebe,2025-04-19,0.0,0
634067014,Western Grebe,2025-04-19,0.0,0
634067005,Western Gull,2025-04-19,0.0,0
634067000,Anna's Hummingbird,2025-04-19,0.0,0
634066998,Anna's Hummingbird,2025-04-19,0.0,0
634066999,Anna's Hummingbird,2025-04-19,0.0,0
634066997,Anna's Hummingbird,2025-04-19,0.0,0
634066990,Anna's Hummingbird,2025-04-19,0.0,0
634066985,Anna's Hummingbird,2025-04-19,0.0,0
633872156,Northern Cardinal,2025-04-16,0.0,0
633872155,Northern Cardinal,2025-04-16,0.0,0
633872146,Purple Finch (Eastern),2025-04-16,0.0,0
633872121,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872123,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872122,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872120,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872113,Carolina x Black-capped Chickadee (hybrid),2025-04-16,0.0,0
633872111,Blue Jay,2025-04-16,0.0,0
633872109,Pileated Woodpecker,2025-04-16,0.0,0
633872106,Pileated Woodpecker,2025-04-16,0.0,0
633872099,Red-bellied Woodpecker,2025-04-16,0.0,0
633858664,Pileated Woodpecker,2025-04-16,0.0,0
633729510,Boat-tailed Grackle,2025-04-14,0.0,0
633729511,Boat-tailed Grackle,2025-04-14,0.0,0
633729512,Boat-tailed Grackle,2025-04-14,0.0,0
633729513,Boat-tailed Grackle,2025-04-14,0.0,0
633729502,Common Myna,2025-04-14,0.0,0
633729503,Common Myna,2025-04-14,0.0,0
633729501,Common Myna,2025-04-14,0.0,0
633729500,Common Myna,2025-04-14,0.0,0
633729470,Brown Pelican (Atlantic),2025-04-13,0.0,0
633615839,Fish Crow,2025-04-12,0.0,0
633615819,Rock Pigeon (Feral Pigeon),2025-04-12,0.0,0
633615816,Laughing Gull,2025-04-12,0.0,0
633615815,Laughing Gull,2025-04-12,0.0,0
633596435,White-eyed Parakeet,2025-04-12,0.0,0
633596434,White-eyed Parakeet,2025-04-12,0.0,0
633594977,Blue Jay,2025-04-12,0.0,0
633594976,Blue Jay,2025-04-12,0.0,0
633594968,Caspian Tern,2025-04-12,0.0,0
633594969,Caspian Tern,2025-04-12,0.0,0
633594920,Barn Swallow,2025-04-11,0.0,0
633594913,Forster's Tern,2025-04-11,0.0,0
633594908,Greater Yellowlegs,2025-04-11,0.0,0
633594897,Whimbrel,2025-04-11,0.0,0
633594891,Ruddy Duck,2025-04-11,0.0,0
633461997,Northern House Wren,2025-04-09,0.0,0
633461998,Northern House Wren,2025-04-09,0.0,0
633461990,Spotted Towhee,2025-04-09,0.0,0
633461964,Common Goldeneye,2025-04-09,0.0,0
633461965,Common Goldeneye,2025-04-09,0.0,0
633461973,Anna's Hummingbird,2025-04-09,0.0,0
633461974,Anna's Hummingbird,2025-04-09,0.0,0
633461963,Common Goldeneye,2025-04-09,0.0,0
633422876,Muscovy Duck (Domestic type),2025-04-08,0.0,0
633422907,Western Cattle-Egret,2025-04-08,0.0,0
633422915,Western Cattle-Egret,2025-04-08,0.0,0
633422922,Western Cattle-Egret,2025-04-08,0.0,0
633422899,Western Cattle-Egret,2025-04-08,0.0,0
633422888,Black-crowned Night Heron,2025-04-08,0.0,0
633422885,Double-crested Cormorant,2025-04-08,0.0,0
633422873,Muscovy Duck (Domestic type),2025-04-08,0.0,0
633422872,Muscovy Duck (Domestic type),2025-04-08,0.0,0
633422864,Canada Goose,2025-04-08,0.0,0
633422859,Canada Goose,2025-04-08,0.0,0
633422853,Canada Goose,2025-04-08,5.0,1
633390510,Loggerhead Shrike,2025-04-07,0.0,0
633390505,Red-tailed Hawk,2025-04-07,0.0,0
633390504,Red-tailed Hawk,2025-04-07,0.0,0
633390486,Wild Turkey,2025-04-07,5.0,1
633390021,Turkey Vulture,2025-04-07,0.0,0
633390000,California Towhee,2025-04-07,0.0,0
633389986,Canyon Wren,2025-04-07,0.0,0
633389977,Canyon Wren,2025-04-07,0.0,0
633389978,Canyon Wren,2025-04-07,0.0,0
633389971,Canyon Wren,2025-04-07,0.0,0
633389917,Yellow-billed Magpie,2025-04-07,0.0,0
633389905,Yellow-billed Magpie,2025-04-07,0.0,0
633302516,Spotted Towhee,2025-04-06,0.0,0
633302510,Pacific Wren,2025-04-06,1.5,2
633178053,Spotted Towhee,2025-04-04,0.0,0
633178054,Spotted Towhee,2025-04-04,0.0,0
633178000,Western Kingbird,2025-04-04,0.0,0
633177980,Great Horned Owl,2025-04-04,0.0,0
633177991,American Kestrel,2025-04-04,0.0,0
633177992,American Kestrel,2025-04-04,0.0,0
633177978,Great Horned Owl,2025-04-04,0.0,0
633177979,Great Horned Owl,2025-04-04,0.0,0
633177973,Great Horned Owl,2025-04-04,0.0,0
633177958,Great Horned Owl,2025-04-04,0.0,0
633177944,Red-tailed Hawk,2025-04-04,0.0,0
633177923,Cooper's Hawk,2025-04-04,0.0,0
633177924,Cooper's Hawk,2025-04-04,0.0,0
633177914,Cooper's Hawk,2025-04-04,0.0,0
633139855,Belted Kingfisher,2025-04-03,0.0,0
633139854,Belted Kingfisher,2025-04-03,0.0,0
633139850,Osprey,2025-04-03,0.0,0
633139849,Osprey,2025-04-03,0.0,0
633139843,Osprey,2025-04-03,0.0,0
633139826,Anna's Hummingbird,2025-04-03,0.0,0
633117134,Bald Eagle,2025-04-03,0.0,0
633117132,Bald Eagle,2025-04-03,0.0,0
633117130,Bald Eagle,2025-04-03,0.0,0
633117128,Northern Flicker,2025-04-03,0.0,0
633117099,Eared Grebe,2025-04-03,0.0,0
633117093,Anna's Hummingbird,2025-04-03,0.0,0
633117091,Anna's Hummingbird,2025-04-03,0.0,0
633117084,Anna's Hummingbird,2025-04-03,0.0,0
633081821,Ruddy Duck,2025-04-02,0.0,0
633081765,Common Merganser,2025-04-02,0.0,0
633081766,Common Merganser,2025-04-02,0.0,0
633081759,Ring-necked Duck,2025-04-02,0.0,0
633081736,Ring-necked Duck,2025-04-02,0.0,0
633081730,Mallard (Domestic type),2025-04-02,0.0,0
633081729,Mallard (Domestic type),2025-04-02,0.0,0
633052164,California Scrub-Jay,2025-04-01,0.0,0
633052108,Golden-crowned Sparrow,2025-04-01,0.0,0
633052083,Chestnut-backed Chickadee,2025-04-01,0.0,0
633052072,Steller's Jay (Coastal),2025-04-01,0.0,0
633052069,Red-tailed Hawk,2025-04-01,0.0,0
633052068,Red-tailed Hawk,2025-04-01,0.0,0
633052070,Red-tailed Hawk,2025-04-01,0.0,0
633052063,Allen's Hummingbird,2025-04-01,0.0,0
633052056,Allen's Hummingbird,2025-04-01,0.0,0
633052053,Allen's Hummingbird,2025-04-01,0.0,0
633052047,Anna's Hummingbird,2025-04-01,0.0,0
633052045,California Quail,2025-04-01,0.0,0
633052043,California Quail,2025-04-01,0.0,0
633052042,California Quail,2025-04-01,0.0,0
633051865,Dark-eyed Junco,2025-04-01,3.67,3
633051861,Western Bluebird,2025-04-01,0.0,0
633051853,Western Bluebird,2025-04-01,0.0,0
633051852,Barn Swallow,2025-04-01,5.0,1
633051840,Red-tailed Hawk,2025-04-01,2.0,1
633051839,Red-tailed Hawk,2025-04-01,2.5,2
633051830,Snowy Egret,2025-04-01,0.0,0
633051821,Anna's Hummingbird,2025-04-01,4.0,2
633051808,Cinnamon Teal,2025-04-01,4.0,2
633051798,Western Gull,2025-04-01,0.0,0
632854729,Cliff Swallow,2025-03-29,0.0,0
632854720,Western Kingbird,2025-03-29,0.0,0
632854713,Great Horned Owl,2025-03-29,0.0,0
632854711,Great Horned Owl,2025-03-29,0.0,0
632854707,Red-tailed Hawk,2025-03-29,0.0,0
632854704,Red-tailed Hawk,2025-03-29,0.0,0
632854691,Cooper's Hawk,2025-03-29,0.0,0
632854692,Cooper's Hawk,2025-03-29,0.0,0
632854682,Black-crowned Night Heron,2025-03-29,0.0,0
632814284,Dark-eyed Junco,2025-03-28,0.0,0
632814291,Song Sparrow,2025-03-28,0.0,0
632814282,Dark-eyed Junco,2025-03-28,0.0,0
632814281,Dark-eyed Junco,2025-03-28,0.0,0
632814292,Song Sparrow,2025-03-28,0.0,0
632814283,Dark-eyed Junco,2025-03-28,0.0,0
632814270,Purple Finch,2025-03-28,0.0,0
632814266,Purple Finch,2025-03-28,0.0,0
632814256,Red-breasted Nuthatch,2025-03-28,0.0,0
632814246,Red-breasted Nuthatch,2025-03-28,0.0,0
632814233,Mountain Chickadee,2025-03-28,0.0,0
632814229,Mountain Chickadee,2025-03-28,0.0,0
632814223,Steller's Jay,2025-03-28,0.0,0
632814221,Steller's Jay,2025-03-28,0.0,0
632814222,Steller's Jay,2025-03-28,0.0,0
632814218,Steller's Jay,2025-03-28,5.0,2
632814208,Ruddy Duck,2025-03-28,0.0,0
632814197,Ring-necked Duck,2025-03-28,0.0,0
632814087,Red-breasted Nuthatch,2025-03-28,0.0,0
632814078,Red Crossbill,2025-03-28,0.0,0
632814073,Brown Creeper,2025-03-28,0.0,0
632670422,California Gull,2025-03-24,0.0,0
632670423,California Gull,2025-03-24,0.0,0
632670158,Nuttall's Woodpecker,2025-03-25,0.0,0
632670141,Cliff Swallow,2025-03-25,2.0,1
632670129,House Sparrow,2025-03-25,0.0,0
632670047,Osprey (American),2025-03-25,0.0,0
632670026,Osprey (American),2025-03-25,0.0,0
632670022,Osprey (American),2025-03-25,0.0,0
632669997,Osprey (American),2025-03-25,0.0,0
632669969,Anna's Hummingbird,2025-03-25,0.0,0
632669961,Common Merganser,2025-03-25,0.0,0
632669960,Common Merganser,2025-03-25,0.0,0
632669962,Common Merganser,2025-03-25,0.0,0
632669959,Common Merganser,2025-03-25,0.0,0
632628920,Eared Grebe,2025-03-24,0.0,0
632628904,Eared Grebe,2025-03-24,0.0,0
632628881,Greater Yellowlegs,2025-03-24,0.0,0
632628850,Wilson's Snipe,2025-03-24,0.0,0
632628848,Wilson's Snipe,2025-03-24,0.0,0
632628849,Wilson's Snipe,2025-03-24,0.0,0
632628847,Wilson's Snipe,2025-03-24,0.0,0
632628846,Wilson's Snipe,2025-03-24,0.0,0
632628837,Long-billed Dowitcher,2025-03-24,0.0,0
632628810,Black-bellied Plover,2025-03-24,0.0,0
632628788,Black-bellied Plover,2025-03-24,0.0,0
632628636,Snowy Egret,2025-03-24,0.0,0
632576435,Northern Mockingbird,2025-03-23,0.0,0
632576430,Lesser Goldfinch,2025-03-23,0.0,0
632576423,Northern Mockingbird,2025-03-23,0.0,0
632576413,American Kestrel,2025-03-23,0.0,0
632576405,Great Horned Owl,2025-03-23,0.0,0
632576398,Red-shouldered Hawk,2025-03-23,0.0,0
632576397,Red-shouldered Hawk,2025-03-23,0.0,0
632576386,Ring-necked Duck,2025-03-23,0.0,0
632576380,Wood Duck,2025-03-23,0.0,0
632505381,Golden-crowned Sparrow,2025-03-22,0.0,0
632505380,Golden-crowned Sparrow,2025-03-22,0.0,0
632505359,Phainopepla,2025-03-22,0.0,0
632505349,Western Bluebird,2025-03-22,0.0,0
632505331,Western Bluebird,2025-03-22,0.0,0
632505326,Northern Mockingbird,2025-03-22,0.0,0
632505318,Cliff Swallow,2025-03-22,0.0,0
632505313,Tree Swallow,2025-03-22,0.0,0
632505306,American Kestrel,2025-03-22,0.0,0
632505305,American Kestrel,2025-03-22,0.0,0
632505292,Downy Woodpecker,2025-03-22,0.0,0
632505274,Belted Kingfisher,2025-03-22,0.0,0
632505273,Belted Kingfisher,2025-03-22,0.0,0
632505263,Great Horned Owl,2025-03-22,0.0,0
632505257,Red-tailed Hawk,2025-03-22,0.0,0
632505256,Red-tailed Hawk,2025-03-22,0.0,0
632505224,Black-crowned Night Heron,2025-03-22,0.0,0
632505189,Double-crested Cormorant,2025-03-22,0.0,0
632505180,Spotted Sandpiper,2025-03-22,0.0,0
632505179,Spotted Sandpiper,2025-03-22,0.0,0
632505133,Green-winged Teal,2025-03-22,0.0,0
632505083,Cinnamon Teal,2025-03-22,0.0,0
632462822,Oak Titmouse,2025-03-21,0.0,0
632462821,Oak Titmouse,2025-03-21,0.0,0
632462816,Western Kingbird,2025-03-21,0.0,0
632462809,Red-tailed Hawk,2025-03-21,0.0,0
632462801,California Gull,2025-03-21,0.0,0
632462795,Anna's Hummingbird,2025-03-21,0.0,0
632462792,Anna's Hummingbird,2025-03-21,0.0,0
632462796,Anna's Hummingbird,2025-03-21,0.0,0
632462793,Anna's Hummingbird,2025-03-21,0.0,0
632462794,Anna's Hummingbird,2025-03-21,0.0,0
632462791,Anna's Hummingbird,2025-03-21,0.0,0
632462785,Anna's Hummingbird,2025-03-21,0.0,0
632462783,Anna's Hummingbird,2025-03-21,0.0,0
632424968,Common Raven,2025-03-20,0.0,0
632424959,Great Egret,2025-03-20,3.0,1
632424967,Common Raven,2025-03-20,0.0,0
632424964,Red-tailed Hawk,2025-03-20,1.0,1
632424960,Great Egret,2025-03-20,0.0,0
632424955,Anna's Hummingbird,2025-03-20,0.0,0
632424954,Anna's Hummingbird,2025-03-20,0.0,0
632424953,Anna's Hummingbird,2025-03-20,0.0,0
632424948,Gadwall,2025-03-20,0.0,0
632424947,Gadwall,2025-03-20,0.0,0
632363668,Phainopepla,2025-03-19,0.0,0
632363667,Phainopepla,2025-03-19,0.0,0
632363666,Phainopepla,2025-03-19,0.0,0
632363651,Northern Mockingbird,2025-03-19,0.0,0
632363618,Tree Swallow,2025-03-19,0.0,0
632363619,Tree Swallow,2025-03-19,0.0,0
632363620,Tree Swallow,2025-03-19,0.0,0
632363621,Tree Swallow,2025-03-19,0.0,0
632363617,Tree Swallow,2025-03-19,0.0,0
632363606,Common Raven,2025-03-19,0.0,0
632363591,Black Phoebe,2025-03-19,0.0,0
632363583,American Kestrel,2025-03-19,0.0,0
632363577,Nuttall's Woodpecker,2025-03-19,0.0,0
632363566,Acorn Woodpecker,2025-03-19,0.0,0
632363567,Acorn Woodpecker,2025-03-19,0.0,0
632363565,Acorn Woodpecker,2025-03-19,0.0,0
632363547,Red-tailed Hawk,2025-03-19,0.0,0
632363549,Red-tailed Hawk,2025-03-19,0.0,0
632363548,Red-tailed Hawk,2025-03-19,0.0,0
632363539,Turkey Vulture,2025-03-19,0.0,0
632363522,Pied-billed Grebe,2025-03-19,0.0,0
632363508,Anna's Hummingbird,2025-03-19,0.0,0
632363507,Anna's Hummingbird,2025-03-19,0.0,0
632363500,Anna's Hummingbird,2025-03-19,0.0,0
632363496,Common Merganser (North American),2025-03-19,0.0,0
632363497,Common Merganser (North American),2025-03-19,0.0,0
632363480,Common Goldeneye,2025-03-19,0.0,0
632363481,Common Goldeneye,2025-03-19,0.0,0
632363463,Bufflehead,2025-03-19,0.0,0
632363452,Green-winged Teal,2025-03-19,0.0,0
632363448,Mallard,2025-03-19,0.0,0
632363444,American Wigeon,2025-03-19,0.0,0
632363439,Cinnamon Teal,2025-03-19,0.0,0
632319790,Savannah Sparrow,2025-03-18,0.0,0
632319782,Phainopepla,2025-03-18,0.0,0
632319776,Phainopepla,2025-03-18,3.0,1
632319763,Northern Mockingbird,2025-03-18,0.0,0
632319747,European Starling,2025-03-18,0.0,0
632319721,swallow sp.,2025-03-18,0.0,0
632319720,swallow sp.,2025-03-18,0.0,0
632319722,swallow sp.,2025-03-18,0.0,0
632319719,swallow sp.,2025-03-18,0.0,0
632319706,Violet-green Swallow,2025-03-18,0.0,0
632319705,Violet-green Swallow,2025-03-18,0.0,0
632319704,Violet-green Swallow,2025-03-18,0.0,0
632319691,Common Raven,2025-03-18,0.0,0
632319688,California Scrub-Jay,2025-03-18,0.0,0
632319664,Black Phoebe,2025-03-18,0.0,0
632319650,Acorn Woodpecker,2025-03-18,0.0,0
632319643,Red-shouldered Hawk (elegans),2025-03-18,0.0,0
632319644,Red-shouldered Hawk (elegans),2025-03-18,0.0,0
632319631,Red-shouldered Hawk (elegans),2025-03-18,0.0,0
632319620,Turkey Vulture,2025-03-18,0.0,0
632319615,Great Egret,2025-03-18,0.0,0
632319610,Double-crested Cormorant,2025-03-18,0.0,0
632319588,Pied-billed Grebe,2025-03-18,0.0,0
632319587,Pied-billed Grebe,2025-03-18,0.0,0
632319557,Killdeer,2025-03-18,0.0,0
632319553,Eurasian Collared-Dove,2025-03-18,0.0,0
632319546,Rock Pigeon (Feral Pigeon),2025-03-18,0.0,0
632319542,Common Goldeneye,2025-03-18,0.0,0
632319541,Common Goldeneye,2025-03-18,0.0,0
632319540,Common Goldeneye,2025-03-18,0.0,0
632319539,Common Goldeneye,2025-03-18,0.0,0
632319524,Bufflehead,2025-03-18,0.0,0
632319502,Ring-necked Duck,2025-03-18,0.0,0
632319494,Ring-necked Duck,2025-03-18,0.0,0
632319478,Mallard (Domestic type),2025-03-18,0.0,0
632319477,Mallard (Domestic type),2025-03-18,0.0,0
632319457,Mallard,2025-03-18,0.0,0
632319395,American Wigeon,2025-03-18,0.0,0
632319396,American Wigeon,2025-03-18,0.0,0
632319370,American Wigeon,2025-03-18,0.0,0
632319322,Cinnamon Teal,2025-03-18,0.0,0
632319294,Cinnamon Teal,2025-03-18,0.0,0
632319289,Wood Duck,2025-03-18,0.0,0
632133506,Yellow-bellied Sapsucker,2025-03-14,0.0,0
632133504,Yellow-bellied Sapsucker,2025-03-14,0.0,0
632133503,Yellow-bellied Sapsucker,2025-03-14,0.0,0
632133505,Yellow-bellied Sapsucker,2025-03-14,0.0,0
632133456,Hutton's Vireo (Interior),2025-03-14,0.0,0
632126413,Broad-billed Hummingbird,2025-03-14,3.0,1
632126408,Yellow-eyed Junco,2025-03-14,4.5,2
632126388,Hepatic Tanager (Northern),2025-03-14,4.5,2
632126381,Arizona Woodpecker,2025-03-14,4.0,2
632126380,Arizona Woodpecker,2025-03-14,4.0,1
632126369,Wild Turkey,2025-03-14,4.0,1
632126361,Lincoln's Sparrow,2025-03-14,5.0,1
632126356,Gila Woodpecker,2025-03-14,4.0,1
632126351,Bridled Titmouse,2025-03-14,4.0,1
632126348,Bridled Titmouse,2025-03-14,4.0,4
632126346,White-winged Dove,2025-03-14,4.33,3
632126345,White-winged Dove,2025-03-14,5.0,2
632126343,Painted Redstart,2025-03-14,4.0,1
632126342,Painted Redstart,2025-03-14,4.5,2
632126333,Rivoli's Hummingbird,2025-03-14,5.0,1
632126329,House Finch (Common),2025-03-14,4.0,1
632126324,Mexican Jay (Arizona),2025-03-14,4.67,3
632126313,Greater Pewee,2025-03-14,3.0,1
632126311,Greater Pewee,2025-03-14,4.0,1
632126306,Hermit Thrush,2025-03-14,5.0,1
632126278,Broad-tailed Hummingbird,2025-03-14,5.0,2
632126276,Broad-tailed Hummingbird,2025-03-14,5.0,1
632126275,Broad-tailed Hummingbird,2025-03-14,5.0,1
632126274,Broad-tailed Hummingbird,2025-03-14,5.0,2
632126249,Common Yellowthroat,2025-03-14,3.0,1
632126238,Vermilion Flycatcher,2025-03-14,4.0,1
632126233,Costa's Hummingbird,2025-03-14,5.0,1
632126231,Costa's Hummingbird,2025-03-14,4.0,1
632126228,Costa's Hummingbird,2025-03-14,5.0,2
632126214,Broad-tailed Hummingbird,2025-03-14,4.8,5
632126151,Red Phalarope,2025-03-14,3.0,1
632126150,Red Phalarope,2025-03-14,3.5,2
632126137,Vermilion Flycatcher,2025-03-14,5.0,1
632126136,Brown Creeper,2025-03-14,4.5,2
632126125,Mexican Duck,2025-03-14,4.0,1
632126021,House Sparrow,2025-03-14,3.0,1
632126017,Eared Grebe,2025-03-14,3.0,1
632126014,Northern Rough-winged Swallow,2025-03-14,3.0,1
632125995,Northern Rough-winged Swallow,2025-03-14,3.0,2
632125996,Northern Rough-winged Swallow,2025-03-14,3.0,1
632125975,Violet-green Swallow,2025-03-14,3.0,1
632125977,Violet-green Swallow,2025-03-14,3.0,1
632125971,Violet-green Swallow,2025-03-14,3.5,2
632125963,Violet-green Swallow,2025-03-14,3.67,3
632125953,Mexican Duck,2025-03-14,4.5,2
632125954,Mexican Duck,2025-03-14,3.0,1
632125950,Double-crested Cormorant,2025-03-14,3.0,1
632125901,Cassin's Vireo,2025-03-14,4.5,2
632125907,Black Vulture,2025-03-14,3.5,2
632125879,Yellow Warbler (Northern),2025-03-14,3.0,1
632125887,Ladder-backed Woodpecker,2025-03-14,4.0,1
632125882,Ladder-backed Woodpecker,2025-03-14,4.0,1
632125877,Yellow Warbler (Northern),2025-03-14,3.0,1
632125848,Ladder-backed Woodpecker,2025-03-14,3.0,1
632125763,Wilson's Warbler,2025-03-14,2.0,1
632125759,Wilson's Warbler,2025-03-14,2.0,1
632125744,Osprey (American),2025-03-14,2.0,1
632125722,Bullock's Oriole,2025-03-14,3.0,1
632125708,Spotted Towhee (maculatus Group),2025-03-14,5.0,1
632125724,Bullock's Oriole,2025-03-14,2.0,1
632125741,Osprey (American),2025-03-14,4.0,1
632125707,Green-tailed Towhee,2025-03-14,4.0,2
632125719,Bullock's Oriole,2025-03-14,4.0,1
632125689,Black-throated Sparrow,2025-03-14,4.0,1
632124984,Lazuli Bunting,2025-03-14,4.0,1
632124981,Lazuli Bunting,2025-03-14,4.0,2
632124980,Lazuli Bunting,2025-03-14,4.0,1
632124936,Pyrrhuloxia,2025-03-14,4.0,2
632124912,Pyrrhuloxia,2025-03-14,4.0,1
632124883,Northern Cardinal,2025-03-14,3.0,1
632124880,Northern Cardinal,2025-03-14,5.0,1
632124881,Northern Cardinal,2025-03-14,5.0,1
632124837,Northern Cardinal,2025-03-14,4.0,2
632124817,Green-tailed Towhee,2025-03-14,5.0,1
632124797,Canyon Towhee,2025-03-14,4.0,1
632124798,Canyon Towhee,2025-03-14,4.0,2
632124755,Lesser Goldfinch,2025-03-14,3.0,1
632124751,Curve-billed Thrasher (palmeri Group),2025-03-14,4.0,1
