ML Catalog Number,Common Name,Date,Average Community Rating,Number of Ratings
632124750,Curve-billed Thrasher (palmeri Group),2025-03-14,4.0,1
632124734,Curve-billed Thrasher (palmeri Group),2025-03-14,5.0,1
632124672,Gila Woodpecker,2025-03-14,4.5,2
632124656,Gila Woodpecker,2025-03-14,5.0,1
632124649,Broad-billed Hummingbird,2025-03-14,3.0,1
632124648,Violet-crowned Hummingbird,2025-03-14,4.5,2
632124643,Violet-crowned Hummingbird,2025-03-14,5.0,2
632124635,Broad-billed Hummingbird,2025-03-14,3.0,1
632124634,Broad-billed Hummingbird,2025-03-14,5.0,1
632124608,Broad-billed Hummingbird,2025-03-14,4.0,1
632124597,Broad-billed Hummingbird,2025-03-14,3.0,1
632124594,Anna's Hummingbird,2025-03-14,5.0,1
632124592,Anna's Hummingbird,2025-03-14,4.0,2
632124584,Anna's Hummingbird,2025-03-14,5.0,2
632124553,White-winged Dove,2025-03-14,3.0,1
632124552,White-winged Dove,2025-03-14,4.0,1
632124496,Say's Phoebe,2025-03-14,4.33,3
632078814,Vermilion Flycatcher,2025-03-13,3.0,1
632078809,Vermilion Flycatcher,2025-03-13,3.0,1
632078792,Western Meadowlark,2025-03-13,4.0,2
632078789,Abert's Towhee,2025-03-13,4.0,1
632078785,Sagebrush Sparrow,2025-03-13,2.5,2
632078782,Sage Thrasher,2025-03-13,0.0,0
632078780,Sage Thrasher,2025-03-13,0.0,0
632078738,Bendire's Thrasher,2025-03-13,0.0,0
632078737,Bendire's Thrasher,2025-03-13,0.0,0
632078727,Bendire's Thrasher,2025-03-13,0.0,0
632078711,Bendire's Thrasher,2025-03-13,0.0,0
632078736,Bendire's Thrasher,2025-03-13,0.0,0
632078726,Bendire's Thrasher,2025-03-13,0.0,0
632078716,Bendire's Thrasher,2025-03-13,0.0,0
632078703,Black-tailed Gnatcatcher,2025-03-13,1.0,1
632078702,Black-tailed Gnatcatcher,2025-03-13,0.0,0
632078705,Black-tailed Gnatcatcher,2025-03-13,0.0,0
632078680,Eurasian Collared-Dove,2025-03-13,3.0,1
632078690,Black-tailed Gnatcatcher,2025-03-13,0.0,0
632078679,Eurasian Collared-Dove,2025-03-13,4.0,2
632078624,Red-winged Blackbird (California Bicolored),2025-03-12,4.0,2
632078623,Red-winged Blackbird (California Bicolored),2025-03-12,2.0,1
632078599,Brown-headed Cowbird,2025-03-12,2.5,2
632078595,Brewer's Blackbird,2025-03-12,0.0,0
632078571,Western Meadowlark,2025-03-12,3.5,2
632078572,Western Meadowlark,2025-03-12,4.0,2
632075078,Red-winged Blackbird (Red-winged),2025-03-12,0.0,0
632075079,Red-winged Blackbird (Red-winged),2025-03-12,0.0,0
632075080,Red-winged Blackbird (Red-winged),2025-03-12,0.0,0
632075081,Red-winged Blackbird (Red-winged),2025-03-12,0.0,0
632074992,Savannah Sparrow,2025-03-12,0.0,0
632074988,White-crowned Sparrow,2025-03-12,0.0,0
632074940,House Finch,2025-03-12,0.0,0
632074934,European Starling,2025-03-12,3.0,1
632074920,Eared Grebe,2025-03-12,0.0,0
632074910,Eared Grebe,2025-03-12,0.0,0
632074905,Western Sandpiper,2025-03-12,2.0,1
632074898,Least Sandpiper,2025-03-12,0.0,0
632074897,Dunlin,2025-03-12,0.0,0
632074239,Eared Grebe,2025-03-12,0.0,0
632074220,Cliff Swallow,2025-03-12,0.0,0
632074199,Loggerhead Shrike,2025-03-12,0.0,0
632074197,Loggerhead Shrike,2025-03-12,0.0,0
632074210,Cliff Swallow,2025-03-12,0.0,0
632074198,Loggerhead Shrike,2025-03-12,0.0,0
632074161,Loggerhead Shrike,2025-03-12,0.0,0
632074160,Loggerhead Shrike,2025-03-12,0.0,0
632074159,Loggerhead Shrike,2025-03-12,0.0,0
632074156,Loggerhead Shrike,2025-03-12,0.0,0
632074124,Black-crowned Night Heron,2025-03-12,0.0,0
632074151,Red-tailed Hawk,2025-03-12,0.0,0
632074128,Black-crowned Night Heron,2025-03-12,0.0,0
632074150,Red-tailed Hawk,2025-03-12,0.0,0
632074138,Great Egret,2025-03-12,0.0,0
632074133,Black-crowned Night Heron,2025-03-12,0.0,0
632074112,Eared Grebe,2025-03-12,0.0,0
632074101,Western Sandpiper,2025-03-12,0.0,0
632074094,Least Sandpiper,2025-03-12,0.0,0
632074089,Dunlin,2025-03-12,0.0,0
632074079,Greater Yellowlegs,2025-03-12,0.0,0
632074078,Greater Yellowlegs,2025-03-12,0.0,0
632074066,Long-billed Dowitcher,2025-03-12,0.0,0
632074065,Long-billed Dowitcher,2025-03-12,0.0,0
632074047,Killdeer,2025-03-12,0.0,0
632074040,Black-necked Stilt,2025-03-12,0.0,0
632074020,Ruddy Duck,2025-03-12,0.0,0
632074018,Ruddy Duck,2025-03-12,0.0,0
632074019,Ruddy Duck,2025-03-12,0.0,0
632073990,Bufflehead,2025-03-12,0.0,0
632073991,Bufflehead,2025-03-12,0.0,0
632073856,Lesser Scaup,2025-03-12,0.0,0
632073825,Redhead,2025-03-12,0.0,0
632073826,Redhead,2025-03-12,0.0,0
632073791,Northern Pintail,2025-03-12,0.0,0
632073774,American Wigeon,2025-03-12,0.0,0
632073755,Gadwall,2025-03-12,0.0,0
632073754,Gadwall,2025-03-12,0.0,0
632073708,Cinnamon Teal,2025-03-12,2.0,1
631979423,White-crowned Sparrow,2025-03-11,0.0,0
631979417,Phainopepla,2025-03-11,0.0,0
631979414,Phainopepla,2025-03-11,0.0,0
631979395,Northern Rough-winged Swallow,2025-03-11,0.0,0
631979390,Tree Swallow,2025-03-11,0.0,0
631979380,Common Raven,2025-03-11,0.0,0
631979364,California Scrub-Jay,2025-03-11,0.0,0
631979348,Black Phoebe,2025-03-11,0.0,0
631979342,American Kestrel,2025-03-11,0.0,0
631979329,Nuttall's Woodpecker,2025-03-11,0.0,0
631979292,Nuttall's Woodpecker,2025-03-11,0.0,0
631979289,Nuttall's Woodpecker,2025-03-11,0.0,0
631979266,Red-tailed Hawk,2025-03-11,0.0,0
631979267,Red-tailed Hawk,2025-03-11,0.0,0
631979265,Red-tailed Hawk,2025-03-11,0.0,0
631979249,American White Pelican,2025-03-11,0.0,0
631979247,American White Pelican,2025-03-11,0.0,0
631979239,American White Pelican,2025-03-11,0.0,0
631979222,Great Egret,2025-03-11,0.0,0
631979216,Pied-billed Grebe,2025-03-11,0.0,0
631979214,Pied-billed Grebe,2025-03-11,0.0,0
631979210,American Coot,2025-03-11,0.0,0
631979205,Common Merganser,2025-03-11,0.0,0
631979197,Common Merganser,2025-03-11,0.0,0
631979194,Common Goldeneye,2025-03-11,0.0,0
631979185,Common Goldeneye,2025-03-11,0.0,0
631979177,Bufflehead,2025-03-11,0.0,0
631979167,Mallard,2025-03-11,0.0,0
631979143,Gadwall,2025-03-11,0.0,0
631979136,Cinnamon Teal,2025-03-11,0.0,0
631979135,Cinnamon Teal,2025-03-11,0.0,0
631979133,Cinnamon Teal,2025-03-11,0.0,0
631940220,Yellow-rumped Warbler,2025-03-10,0.0,0
631940219,Yellow-rumped Warbler,2025-03-10,0.0,0
631940201,White-crowned Sparrow,2025-03-10,0.0,0
631940178,Lark Sparrow,2025-03-10,0.0,0
631940174,Lark Sparrow,2025-03-10,0.0,0
631940176,Lark Sparrow,2025-03-10,0.0,0
631940175,Lark Sparrow,2025-03-10,0.0,0
631940153,Lesser Goldfinch,2025-03-10,3.0,1
631940154,Lesser Goldfinch,2025-03-10,0.0,0
631940141,House Finch,2025-03-10,2.5,2
631940140,House Finch,2025-03-10,4.5,2
631940090,Phainopepla,2025-03-10,0.0,0
631940089,Phainopepla,2025-03-10,0.0,0
631940069,Ruby-crowned Kinglet,2025-03-10,4.33,3
631940030,California Scrub-Jay,2025-03-10,0.0,0
631940024,Black Phoebe,2025-03-10,3.0,1
631940010,American Kestrel,2025-03-10,4.5,2
631939998,Nuttall's Woodpecker,2025-03-10,0.0,0
631939962,Downy Woodpecker,2025-03-10,4.33,3
631939941,Red-breasted Sapsucker,2025-03-10,0.0,0
631939940,Red-breasted Sapsucker,2025-03-10,0.0,0
631939942,Red-breasted Sapsucker,2025-03-10,0.0,0
631939939,Red-breasted Sapsucker,2025-03-10,0.0,0
631939930,Red-breasted Sapsucker,2025-03-10,0.0,0
631939929,Red-breasted Sapsucker,2025-03-10,0.0,0
631939920,Red-breasted Sapsucker,2025-03-10,0.0,0
631939917,Red-tailed Hawk,2025-03-10,0.0,0
631939911,Turkey Vulture,2025-03-10,2.0,1
631939901,Turkey Vulture,2025-03-10,0.0,0
631939886,Anna's Hummingbird,2025-03-10,0.0,0
631939887,Anna's Hummingbird,2025-03-10,0.0,0
631939885,Anna's Hummingbird,2025-03-10,0.0,0
631939882,Anna's Hummingbird,2025-03-10,0.0,0
631939861,Common Goldeneye,2025-03-10,0.0,0
631939860,Common Goldeneye,2025-03-10,0.0,0
631939833,Bufflehead,2025-03-10,3.67,3
631939831,Bufflehead,2025-03-10,3.0,2
631939820,Mallard,2025-03-10,4.0,1
631939816,American Wigeon,2025-03-10,0.0,0
631939808,Cinnamon Teal,2025-03-10,3.0,3
631939809,Cinnamon Teal,2025-03-10,3.0,1
631939806,Wood Duck,2025-03-10,0.0,0
631939805,Wood Duck,2025-03-10,0.0,0
631882265,Yellow-rumped Warbler,2025-03-09,0.0,0
631882231,Great-tailed Grackle,2025-03-09,0.0,0
631882232,Great-tailed Grackle,2025-03-09,0.0,0
631882229,Great-tailed Grackle,2025-03-09,0.0,0
631882198,Brewer's Blackbird,2025-03-09,0.0,0
631882199,Brewer's Blackbird,2025-03-09,0.0,0
631882165,Brown-headed Cowbird,2025-03-09,0.0,0
631882164,Brown-headed Cowbird,2025-03-09,0.0,0
631882138,Brown-headed Cowbird,2025-03-09,0.0,0
631882094,Western Meadowlark,2025-03-09,0.0,0
631882095,Western Meadowlark,2025-03-09,0.0,0
631882093,Western Meadowlark,2025-03-09,0.0,0
631882001,Savannah Sparrow,2025-03-09,0.0,0
631882000,Savannah Sparrow,2025-03-09,0.0,0
631881981,House Finch,2025-03-09,0.0,0
631881980,House Finch,2025-03-09,0.0,0
631881961,House Sparrow,2025-03-09,0.0,0
631881960,House Sparrow,2025-03-09,0.0,0
631881943,Marsh Wren,2025-03-09,4.5,2
631881882,Tree Swallow,2025-03-09,0.0,0
631881862,Vermilion Flycatcher,2025-03-09,0.0,0
631881855,Vermilion Flycatcher,2025-03-09,0.0,0
631881838,American Kestrel,2025-03-09,0.0,0
631881837,American Kestrel,2025-03-09,0.0,0
631881797,Great Horned Owl,2025-03-09,0.0,0
631881796,Great Horned Owl,2025-03-09,0.0,0
631881780,Great Horned Owl,2025-03-09,0.0,0
631881779,Great Horned Owl,2025-03-09,0.0,0
631881759,Red-tailed Hawk,2025-03-09,0.0,0
631881760,Red-tailed Hawk,2025-03-09,0.0,0
631881757,Red-tailed Hawk,2025-03-09,0.0,0
631881761,Red-tailed Hawk,2025-03-09,0.0,0
631881755,Red-tailed Hawk,2025-03-09,0.0,0
631881754,Red-tailed Hawk,2025-03-09,0.0,0
631881753,Red-tailed Hawk,2025-03-09,0.0,0
631881726,Red-tailed Hawk,2025-03-09,0.0,0
631881725,Red-tailed Hawk,2025-03-09,0.0,0
631881724,Red-tailed Hawk,2025-03-09,0.0,0
631881715,Red-tailed Hawk,2025-03-09,0.0,0
631881701,Red-tailed Hawk,2025-03-09,0.0,0
631881697,Red-tailed Hawk,2025-03-09,5.0,1
631881613,Great Horned Owl,2025-03-09,0.0,0
631881536,Northern Harrier,2025-03-09,0.0,0
631881535,Northern Harrier,2025-03-09,0.0,0
631881494,Cooper's Hawk,2025-03-09,0.0,0
631881492,Cooper's Hawk,2025-03-09,0.0,0
631881489,Cooper's Hawk,2025-03-09,0.0,0
631881490,Cooper's Hawk,2025-03-09,0.0,0
631881439,Great Egret,2025-03-09,0.0,0
631881429,Snowy Egret,2025-03-09,0.0,0
631881410,White-faced Ibis,2025-03-09,0.0,0
631881409,White-faced Ibis,2025-03-09,0.0,0
631881416,White-faced Ibis,2025-03-09,0.0,0
631881411,White-faced Ibis,2025-03-09,0.0,0
631881408,White-faced Ibis,2025-03-09,0.0,0
631881407,White-faced Ibis,2025-03-09,0.0,0
631881322,Double-crested Cormorant,2025-03-09,0.0,0
631881324,Double-crested Cormorant,2025-03-09,0.0,0
631881323,Double-crested Cormorant,2025-03-09,0.0,0
631881309,Pied-billed Grebe,2025-03-09,0.0,0
631881285,Long-billed Dowitcher,2025-03-09,0.0,0
631881268,Least Sandpiper,2025-03-09,0.0,0
631881269,Least Sandpiper,2025-03-09,0.0,0
631881267,Least Sandpiper,2025-03-09,0.0,0
631881201,Wilson's Snipe,2025-03-09,0.0,0
631881179,Long-billed Dowitcher,2025-03-09,0.0,0
631881181,Long-billed Dowitcher,2025-03-09,0.0,0
631881180,Long-billed Dowitcher,2025-03-09,0.0,0
631881092,Killdeer,2025-03-09,0.0,0
631881077,American Avocet,2025-03-09,0.0,0
631881070,Black-necked Stilt,2025-03-09,0.0,0
631881071,Black-necked Stilt,2025-03-09,0.0,0
631881064,American Coot,2025-03-09,0.0,0
631881038,Mourning Dove,2025-03-09,0.0,0
631881037,Mourning Dove,2025-03-09,0.0,0
631881018,Ruddy Duck,2025-03-09,0.0,0
631881003,Bufflehead,2025-03-09,0.0,0
631880969,Green-winged Teal,2025-03-09,0.0,0
631880954,Northern Pintail,2025-03-09,0.0,0
631880955,Northern Pintail,2025-03-09,0.0,0
631880928,Northern Pintail,2025-03-09,0.0,0
631880916,Gadwall,2025-03-09,0.0,0
631880904,Northern Shoveler,2025-03-09,0.0,0
631880903,Northern Shoveler,2025-03-09,0.0,0
631880876,Cinnamon Teal,2025-03-09,0.0,0
631880877,Cinnamon Teal,2025-03-09,0.0,0
631880816,Greater White-fronted Goose,2025-03-09,0.0,0
631880814,Greater White-fronted Goose,2025-03-09,0.0,0
631880815,Greater White-fronted Goose,2025-03-09,0.0,0
631880813,Greater White-fronted Goose,2025-03-09,0.0,0
631880763,Snow Goose,2025-03-09,0.0,0
631880761,Snow Goose,2025-03-09,0.0,0
631880762,Snow Goose,2025-03-09,0.0,0
631775542,Yellow-rumped Warbler,2025-03-07,0.0,0
631775534,Red-winged Blackbird,2025-03-07,0.0,0
631775533,Red-winged Blackbird,2025-03-07,0.0,0
631775535,Red-winged Blackbird,2025-03-07,0.0,0
631775525,White-crowned Sparrow,2025-03-07,0.0,0
631775523,White-crowned Sparrow,2025-03-07,0.0,0
631775524,White-crowned Sparrow,2025-03-07,0.0,0
631775522,White-crowned Sparrow,2025-03-07,0.0,0
631775499,Phainopepla,2025-03-07,0.0,0
631775496,Phainopepla,2025-03-07,0.0,0
631775491,Phainopepla,2025-03-07,0.0,0
631775485,Ruby-crowned Kinglet,2025-03-07,2.0,1
631775482,Ruby-crowned Kinglet,2025-03-07,4.5,2
631775474,Northern Rough-winged Swallow,2025-03-07,4.5,2
631775470,Northern Rough-winged Swallow,2025-03-07,0.0,0
631775467,Northern Rough-winged Swallow,2025-03-07,0.0,0
631775447,California Scrub-Jay,2025-03-07,0.0,0
631775444,Northern Flicker,2025-03-07,2.0,1
631775437,Northern Flicker,2025-03-07,2.0,1
631775427,Acorn Woodpecker,2025-03-07,3.0,1
631775424,Red-tailed Hawk,2025-03-07,0.0,0
631775423,Red-tailed Hawk,2025-03-07,0.0,0
631775359,Cooper's Hawk,2025-03-07,0.0,0
631775331,Cooper's Hawk,2025-03-07,0.0,0
631775327,Cooper's Hawk,2025-03-07,0.0,0
631775324,Cooper's Hawk,2025-03-07,0.0,0
631775308,American White Pelican,2025-03-07,0.0,0
631775311,Turkey Vulture,2025-03-07,0.0,0
631775307,American White Pelican,2025-03-07,0.0,0
631775303,Great Egret,2025-03-07,0.0,0
631775301,Killdeer,2025-03-07,3.0,1
631775297,American Coot,2025-03-07,0.0,0
631775286,Anna's Hummingbird,2025-03-07,0.0,0
631775287,Anna's Hummingbird,2025-03-07,0.0,0
631775274,Anna's Hummingbird,2025-03-07,0.0,0
631775247,Hooded Merganser,2025-03-07,0.0,0
631775238,Hooded Merganser,2025-03-07,0.0,0
631775230,Common Goldeneye,2025-03-07,0.0,0
631775232,Common Goldeneye,2025-03-07,0.0,0
631775231,Common Goldeneye,2025-03-07,0.0,0
631775222,Bufflehead,2025-03-07,0.0,0
631775192,Ring-necked Duck,2025-03-07,0.0,0
631775193,Ring-necked Duck,2025-03-07,0.0,0
631775190,Ring-necked Duck,2025-03-07,0.0,0
631775152,American Wigeon,2025-03-07,0.0,0
631775153,American Wigeon,2025-03-07,0.0,0
631775136,Gadwall,2025-03-07,4.5,2
631775133,Gadwall,2025-03-07,4.0,2
631775135,Gadwall,2025-03-07,0.0,0
631775068,Cinnamon Teal,2025-03-07,0.0,0
631775069,Cinnamon Teal,2025-03-07,0.0,0
631775067,Cinnamon Teal,2025-03-07,0.0,0
631775066,Cinnamon Teal,2025-03-07,0.0,0
631739192,Sandhill Crane,2025-03-06,5.0,1
631730950,Red-winged Blackbird,2025-03-06,0.0,0
631730949,Red-winged Blackbird,2025-03-06,0.0,0
631730936,Red-winged Blackbird,2025-03-06,3.0,1
631730889,Western Meadowlark,2025-03-06,0.0,0
631730885,Western Meadowlark,2025-03-06,0.0,0
631730884,Western Meadowlark,2025-03-06,0.0,0
631730872,Western Meadowlark,2025-03-06,4.5,2
631730787,White-crowned Sparrow,2025-03-06,0.0,0
631730785,White-crowned Sparrow,2025-03-06,0.0,0
631730786,White-crowned Sparrow,2025-03-06,0.0,0
631730748,Marsh Wren,2025-03-06,0.0,0
631730724,Marsh Wren,2025-03-06,0.0,0
631730723,Marsh Wren,2025-03-06,0.0,0
631730668,Northern Harrier,2025-03-06,0.0,0
631730624,Greater Yellowlegs,2025-03-06,0.0,0
631730581,Marsh Wren,2025-03-06,3.0,1
631730571,Say's Phoebe,2025-03-06,3.0,1
631730559,Black Phoebe,2025-03-06,0.0,0
631730558,Black Phoebe,2025-03-06,0.0,0
631730509,American Kestrel,2025-03-06,0.0,0
631730508,American Kestrel,2025-03-06,3.0,1
631730507,American Kestrel,2025-03-06,0.0,0
631730510,American Kestrel,2025-03-06,0.0,0
631730506,American Kestrel,2025-03-06,0.0,0
631730488,Red-tailed Hawk,2025-03-06,0.0,0
631730490,Red-tailed Hawk,2025-03-06,0.0,0
631730489,Red-tailed Hawk,2025-03-06,0.0,0
631730487,Red-tailed Hawk,2025-03-06,0.0,0
631730485,Red-tailed Hawk,2025-03-06,0.0,0
631730484,Red-tailed Hawk,2025-03-06,0.0,0
631730486,Red-tailed Hawk,2025-03-06,0.0,0
631730483,Red-tailed Hawk,2025-03-06,0.0,0
631730482,Red-tailed Hawk,2025-03-06,0.0,0
631730450,Northern Harrier,2025-03-06,0.0,0
631730451,Northern Harrier,2025-03-06,0.0,0
631730420,Great Blue Heron,2025-03-06,0.0,0
631730421,Great Blue Heron,2025-03-06,0.0,0
631730401,Great Egret,2025-03-06,0.0,0
631730403,Great Egret,2025-03-06,0.0,0
631730378,White-faced Ibis,2025-03-06,0.0,0
631730355,White-faced Ibis,2025-03-06,3.0,1
631730353,White-faced Ibis,2025-03-06,0.0,0
631730354,White-faced Ibis,2025-03-06,3.0,1
631730352,White-faced Ibis,2025-03-06,0.0,0
631730322,Greater Yellowlegs,2025-03-06,3.0,1
631730328,Least Sandpiper,2025-03-06,0.0,0
631730323,Greater Yellowlegs,2025-03-06,0.0,0
631730327,Least Sandpiper,2025-03-06,0.0,0
631730337,Double-crested Cormorant,2025-03-06,0.0,0
631730294,Long-billed Dowitcher,2025-03-06,1.0,1
631730226,Long-billed Dowitcher,2025-03-06,2.0,1
631730227,Long-billed Dowitcher,2025-03-06,0.0,0
631730195,American Avocet,2025-03-06,0.0,0
631730191,Black-necked Stilt,2025-03-06,3.0,1
631730199,Killdeer,2025-03-06,0.0,0
631730192,Black-necked Stilt,2025-03-06,3.0,1
631730185,Sandhill Crane,2025-03-06,0.0,0
631730186,Sandhill Crane,2025-03-06,0.0,0
631730184,Sandhill Crane,2025-03-06,0.0,0
631730183,Sandhill Crane,2025-03-06,0.0,0
631730174,American Coot,2025-03-06,0.0,0
631730172,Mourning Dove,2025-03-06,0.0,0
631730168,Ring-necked Duck,2025-03-06,0.0,0
631730153,Green-winged Teal,2025-03-06,0.0,0
631730139,Gadwall,2025-03-06,0.0,0
631730135,Northern Shoveler,2025-03-06,0.0,0
631730125,Cinnamon Teal,2025-03-06,0.0,0
631730112,Cinnamon Teal,2025-03-06,0.0,0
631730113,Cinnamon Teal,2025-03-06,0.0,0
631730098,Greater White-fronted Goose,2025-03-06,0.0,0
631730099,Greater White-fronted Goose,2025-03-06,0.0,0
631730100,Greater White-fronted Goose,2025-03-06,0.0,0
631730101,Greater White-fronted Goose,2025-03-06,0.0,0
631730102,Greater White-fronted Goose,2025-03-06,0.0,0
631730097,Greater White-fronted Goose,2025-03-06,0.0,0
631637354,Double-crested Cormorant,2025-03-04,0.0,0
631637346,California Gull,2025-03-04,0.0,0
631637345,California Gull,2025-03-04,0.0,0
631637347,California Gull,2025-03-04,0.0,0
631637353,Double-crested Cormorant,2025-03-04,0.0,0
631637356,Snowy Egret,2025-03-04,0.0,0
631637344,California Gull,2025-03-04,0.0,0
631637343,Black-necked Stilt,2025-03-04,0.0,0
631637342,Black-necked Stilt,2025-03-04,0.0,0
631637329,Ruddy Duck,2025-03-04,0.0,0
631637333,American Coot,2025-03-04,0.0,0
631637330,Ruddy Duck,2025-03-04,0.0,0
631637326,Ruddy Duck,2025-03-04,0.0,0
631637325,Ruddy Duck,2025-03-04,0.0,0
631637312,Gadwall,2025-03-04,0.0,0
631637309,Canada Goose,2025-03-04,0.0,0
631630760,Belted Kingfisher,2025-03-04,4.0,3
631630699,Red-shouldered Hawk,2025-03-04,4.0,1
631630628,American Coot,2025-03-04,3.0,1
631630574,Red-winged Blackbird,2025-03-04,2.5,2
631630569,Savannah Sparrow,2025-03-04,4.0,1
631630568,Savannah Sparrow,2025-03-04,4.0,1
631630555,Phainopepla,2025-03-04,2.5,2
631630554,Phainopepla,2025-03-04,0.0,0
631630537,European Starling,2025-03-04,0.0,0
631630538,European Starling,2025-03-04,0.0,0
631630531,Northern House Wren,2025-03-04,5.0,1
631630532,Northern House Wren,2025-03-04,4.5,2
631630428,Tree Swallow,2025-03-04,5.0,2
631630429,Tree Swallow,2025-03-04,5.0,2
631630411,Black Phoebe,2025-03-04,0.0,0
631630407,American Kestrel,2025-03-04,0.0,0
631630406,American Kestrel,2025-03-04,0.0,0
631630396,Northern Flicker,2025-03-04,0.0,0
631630386,Nuttall's Woodpecker,2025-03-04,0.0,0
631630388,Nuttall's Woodpecker,2025-03-04,0.0,0
631630387,Nuttall's Woodpecker,2025-03-04,0.0,0
631630367,Acorn Woodpecker,2025-03-04,0.0,0
631630356,Great Egret,2025-03-04,0.0,0
631630350,Double-crested Cormorant,2025-03-04,0.0,0
631630319,American Wigeon,2025-03-04,0.0,0
631630336,Bufflehead,2025-03-04,0.0,0
631630328,Mallard,2025-03-04,0.0,0
631630318,American Wigeon,2025-03-04,0.0,0
631630295,Cinnamon Teal,2025-03-04,0.0,0
631630296,Cinnamon Teal,2025-03-04,0.0,0
